APT33	NNP	ACTOR
has	VBZ	O
targeted	VBN	O
organizations	NNS	O
-	:	O
spanning	VBG	O
multiple	JJ	O
industries	NNS	O
-	:	O
headquartered	VBN	O
in	IN	O
the	DT	O
United	NNP	LOCATION
States	NNPS	LOCATION
,	,	O
Saudi	NNP	LOCATION
Arabia	NNP	LOCATION
and	CC	O
South	NNP	LOCATION
Korea	NNP	LOCATION
.	.	O
APT33	NNP	ACTOR
has	VBZ	O
shown	VBN	O
particular	JJ	O
interest	NN	O
in	IN	O
organizations	NNS	O
in	IN	O
the	DT	O
aviation	NN	INDUSTRY
sector	NN	INDUSTRY
involved	VBN	O
in	IN	O
both	DT	O
military	JJ	INDUSTRY
and	CC	O
commercial	JJ	INDUSTRY
capacities	NNS	INDUSTRY
,	,	O
as	RB	O
well	RB	O
as	IN	O
organizations	NNS	O
in	IN	O
the	DT	O
energy	NN	INDUSTRY
sector	NN	INDUSTRY
with	IN	O
ties	NNS	O
to	TO	O
petrochemical	JJ	INDUSTRY
production	NN	INDUSTRY
.	.	O
We	PRP	O
believe	VBP	O
the	DT	O
targeting	NN	O
of	IN	O
the	DT	O
Saudi	NNP	O
organization	NN	O
may	MD	O
have	VB	O
been	VBN	O
an	DT	O
attempt	NN	O
to	TO	O
gain	VB	O
insight	JJ	O
into	IN	O
regional	JJ	O
rivals	NNS	O
,	,	O
while	IN	O
the	DT	O
targeting	NN	O
of	IN	O
South	JJ	LOCATION
Korean	JJ	LOCATION
companies	NNS	O
may	MD	O
be	VB	O
due	JJ	O
to	TO	O
South	NNP	LOCATION
Korea	NNP	LOCATION
's	POS	O
recent	JJ	O
partnerships	NNS	O
with	IN	O
Iran	NNP	O
's	POS	O
petrochemical	JJ	INDUSTRY
industry	NN	INDUSTRY
as	RB	O
well	RB	O
as	IN	O
South	NNP	LOCATION
Korea	NNP	LOCATION
's	POS	O
relationships	NNS	O
with	IN	O
Saudi	NNP	LOCATION
petrochemical	NN	INDUSTRY
companies	NNS	INDUSTRY
.	.	O
Iran	NNP	O
has	VBZ	O
expressed	VBN	O
interest	NN	O
in	IN	O
growing	VBG	O
their	PRP$	O
petrochemical	NN	O
industry	NN	O
and	CC	O
often	RB	O
posited	VBD	O
this	DT	O
expansion	NN	O
in	IN	O
competition	NN	O
to	TO	O
Saudi	NNP	O
petrochemical	NN	O
companies	NNS	O
.	.	O
APT33	NNP	ACTOR
may	MD	O
have	VB	O
targeted	VBN	O
these	DT	O
organizations	NNS	O
as	IN	O
a	DT	O
result	NN	O
of	IN	O
Iran	NNP	LOCATION
's	POS	O
desire	NN	O
to	TO	O
expand	VB	O
its	PRP$	O
own	JJ	O
petrochemical	NN	INDUSTRY
production	NN	INDUSTRY
and	CC	O
improve	VB	O
its	PRP$	O
competitiveness	NN	O
within	IN	O
the	DT	O
region	NN	O
.	.	O
The	DT	O
generalized	JJ	O
targeting	NN	O
of	IN	O
organizations	NNS	O
involved	VBN	O
in	IN	O
energy	NN	O
and	CC	O
petrochemicals	NNS	INDUSTRY
mirrors	NNS	O
previously	RB	O
observed	VBD	O
targeting	NN	O
by	IN	O
other	JJ	O
suspected	JJ	O
Iranian	JJ	O
threat	NN	O
groups	NNS	O
,	,	O
indicating	VBG	O
a	DT	O
common	JJ	O
interest	NN	O
in	IN	O
the	DT	O
sectors	NNS	O
across	IN	O
Iranian	JJ	O
actors	NNS	O
.	.	O
APT33	NNP	ACTOR
sent	VBD	O
spear	JJ	TECHNIQUE
phishing	NN	TECHNIQUE
emails	NNS	TECHNIQUE
to	TO	O
employees	NNS	O
whose	WP$	O
jobs	NNS	O
related	VBN	O
to	TO	O
the	DT	O
aviation	NN	INDUSTRY
industry	NN	INDUSTRY
.	.	O
These	DT	O
emails	NNS	O
included	VBD	O
recruitment	NN	O
themed	VBN	O
lures	NNS	O
and	CC	O
contained	VBD	O
links	NNS	O
to	TO	O
malicious	JJ	TECHNIQUE
HTML	NNP	TECHNIQUE
application	NN	TECHNIQUE
(	(	O
.hta	NNP	O
)	)	O
files	NNS	O
.	.	O
The	DT	O
.hta	JJ	O
files	NNS	O
contained	VBN	O
job	NN	O
descriptions	NNS	O
and	CC	O
links	NNS	O
to	TO	O
legitimate	VB	O
job	NN	O
postings	NNS	O
on	IN	O
popular	JJ	O
employment	NN	O
websites	NNS	O
that	WDT	O
would	MD	O
be	VB	O
relevant	JJ	O
to	TO	O
the	DT	O
targeted	JJ	O
individuals	NNS	O
.	.	O
An	DT	O
example	NN	O
.hta	NNP	O
file	NN	O
excerpt	NN	O
is	VBZ	O
provided	VBN	O
in	IN	O
Figure	NNP	O
2	CD	O
.	.	O
To	TO	O
the	DT	O
user	NN	O
,	,	O
the	DT	O
file	NN	O
would	MD	O
appear	VB	O
as	IN	O
benign	JJ	O
references	NNS	O
to	TO	O
legitimate	VB	O
job	NN	O
postings	NNS	O
;	:	O
however	RB	O
,	,	O
unbeknownst	JJ	O
to	TO	O
the	DT	O
user	NN	O
,	,	O
the	DT	O
.hta	NNP	O
file	NN	O
also	RB	O
contained	VBD	O
embedded	JJ	O
code	NN	O
that	WDT	O
automatically	RB	O
downloaded	VBD	O
a	DT	O
custom	NN	O
APT33	NNP	ACTOR
backdoor	NN	TOOL
.	.	O
We	PRP	O
assess	VBP	O
APT33	NNP	ACTOR
used	VBD	O
a	DT	O
built	JJ	O
-	:	O
in	IN	O
phishing	VBG	TECHNIQUE
module	NN	O
within	IN	O
the	DT	O
publicly	RB	O
available	JJ	O
ALFA	NNP	MALWARE
TEaM	NNP	MALWARE
Shell	NNP	MALWARE
(	(	O
aka	RB	O
ALFASHELL	NNP	MALWARE
)	)	O
to	TO	O
send	VB	O
hundreds	NNS	O
of	IN	O
spear	JJ	TECHNIQUE
phishing	VBG	TECHNIQUE
emails	NNS	TECHNIQUE
to	TO	O
targeted	JJ	O
individuals	NNS	O
in	IN	O
2016	CD	O
.	.	O
Many	JJ	O
of	IN	O
the	DT	O
phishing	NN	TECHNIQUE
emails	NNS	TECHNIQUE
appeared	VBD	O
legitimate	JJ	O
-	:	O
they	PRP	O
referenced	VBD	O
a	DT	O
specific	JJ	O
job	NN	O
opportunity	NN	O
and	CC	O
salary	JJ	O
,	,	O
provided	VBD	O
a	DT	O
link	NN	O
to	TO	O
the	DT	O
spoofed	VBN	O
company	NN	O
's	POS	O
employment	NN	O
website	NN	O
,	,	O
and	CC	O
even	RB	O
included	VBD	O
the	DT	O
spoofed	JJ	O
company	NN	O
's	POS	O
Equal	JJ	O
Opportunity	NNP	O
hiring	NN	O
statement	NN	O
.	.	O
However	RB	O
,	,	O
in	IN	O
a	DT	O
few	JJ	O
cases	NNS	O
,	,	O
APT33	NNP	ACTOR
operators	NNS	O
left	VBD	O
in	IN	O
the	DT	O
default	NN	O
values	NNS	O
of	IN	O
the	DT	O
shell	NN	O
's	POS	O
phishing	NN	TECHNIQUE
module	NN	O
.	.	O
These	DT	O
appear	VBP	O
to	TO	O
be	VB	O
mistakes	NNS	O
,	,	O
as	IN	O
minutes	NNS	O
after	IN	O
sending	VBG	O
the	DT	O
emails	NNS	O
with	IN	O
the	DT	O
default	NN	O
values	NNS	O
,	,	O
APT33	NNP	ACTOR
sent	VBD	O
emails	NNS	O
to	TO	O
the	DT	O
same	JJ	O
recipients	NNS	O
with	IN	O
the	DT	O
default	NN	O
values	VBZ	O
removed	VBN	O
.	.	O
