Most	JJS	O
custom	JJ	O
backdoors	NNS	TOOL
used	VBN	O
by	IN	O
advanced	JJ	O
attackers	NNS	O
have	VBP	O
limited	VBN	O
functionality	NN	O
.	.	O
They	PRP	O
evade	VBP	TECHNIQUE
detection	NN	TECHNIQUE
by	IN	O
keeping	VBG	O
their	PRP$	O
code	NN	O
simple	NN	O
and	CC	O
flying	VBG	O
under	IN	O
the	DT	O
radar	NN	O
.	.	O
But	CC	O
during	IN	O
a	DT	O
recent	JJ	O
investigation	NN	O
we	PRP	O
found	VBD	O
a	DT	O
backdoor	NN	TOOL
that	WDT	O
takes	VBZ	O
a	DT	O
very	RB	O
different	JJ	O
approach	NN	O
.	.	O
We	PRP	O
refer	VBP	O
to	TO	O
this	DT	O
backdoor	NN	TOOL
as	IN	O
T9000	NNP	MALWARE
,	,	O
which	WDT	O
is	VBZ	O
a	DT	O
newer	JJR	O
variant	NN	O
of	IN	O
the	DT	O
T5000	NNP	MALWARE
malware	NN	O
family	NN	O
,	,	O
also	RB	O
known	VBN	O
as	IN	O
Plat1	NNP	MALWARE
.	.	O
In	IN	O
addition	NN	O
to	TO	O
the	DT	O
basic	JJ	O
functionality	NN	O
all	DT	O
backdoors	NNS	TOOL
provide	VBP	O
,	,	O
T9000	NNP	MALWARE
allows	VBZ	O
the	DT	O
attacker	NN	O
to	TO	O
capture	NN	O
encrypted	VBN	O
data	NNS	O
,	,	O
take	VBP	O
screenshots	NNS	O
of	IN	O
specific	JJ	O
applications	NNS	O
and	CC	O
specifically	RB	O
target	VB	O
Skype	NNP	APP
users	NNS	O
.	.	O
The	DT	O
malware	NN	O
goes	VBZ	O
to	TO	O
great	JJ	O
lengths	NNS	O
to	TO	O
identify	VB	O
a	DT	O
total	NN	O
of	IN	O
24	CD	O
potential	JJ	O
security	NN	O
products	NNS	O
that	WDT	O
may	MD	O
be	VB	O
running	VBG	O
on	IN	O
a	DT	O
system	NN	O
and	CC	O
customizes	VBZ	O
its	PRP$	O
installation	NN	O
mechanism	NN	O
to	TO	O
specifically	RB	O
evade	VB	O
those	DT	O
that	WDT	O
are	VBP	O
installed	VBN	O
.	.	O
It	PRP	O
uses	VBZ	O
a	DT	O
multistage	NN	O
installation	NN	O
process	NN	O
with	IN	O
specific	JJ	O
checks	NNS	O
at	IN	O
each	DT	O
point	NN	O
to	TO	O
identify	VB	O
if	IN	O
it	PRP	O
is	VBZ	O
undergoing	VBG	O
analysis	NN	O
by	IN	O
a	DT	O
security	NN	O
researcher	NN	O
.	.	O
The	DT	O
primary	JJ	O
functionality	NN	O
of	IN	O
this	DT	O
tool	NN	O
is	VBZ	O
to	TO	O
gather	VB	EFFECT
information	NN	EFFECT
about	IN	O
the	DT	O
victim	NN	O
.	.	O
In	IN	O
fact	NN	O
,	,	O
the	DT	O
author	NN	O
chose	VBD	O
to	TO	O
store	VB	O
critical	JJ	O
files	NNS	O
dropped	VBN	O
by	IN	O
the	DT	O
Trojan	NNP	TOOL
in	IN	O
a	DT	O
directory	NN	O
named	VBN	O
"	NNP	O
Intel	NNP	O
.	.	O
"	JJ	O
T9000	NNP	MALWARE
is	VBZ	O
pre	JJ	O
-	:	O
configured	VBN	O
to	TO	O
automatically	RB	O
capture	VB	EFFECT
data	NNS	EFFECT
about	IN	O
the	DT	O
infected	JJ	O
system	NN	O
and	CC	O
steal	JJ	EFFECT
files	NNS	EFFECT
of	IN	O
specific	JJ	O
types	NNS	O
stored	VBN	O
on	IN	O
removable	JJ	O
media	NNS	O
.	.	O
The	DT	O
sample	NN	O
of	IN	O
T9000	NNP	MALWARE
used	VBD	O
in	IN	O
this	DT	O
analysis	NN	O
was	VBD	O
originally	RB	O
dropped	VBN	O
via	IN	O
a	DT	O
RTF	NNP	O
file	NN	O
that	WDT	O
contained	VBD	O
exploits	NNS	O
for	IN	O
both	DT	O
CVE-2012	NNP	O
-	:	O
1856	CD	O
and	CC	O
CVE-2015	NNP	O
-	:	O
1641	CD	O
.	.	O
When	WRB	O
triggered	VBN	O
,	,	O
an	DT	O
initial	JJ	O
shellcode	NN	TOOL
stage	NN	O
is	VBZ	O
run	VBN	O
,	,	O
which	WDT	O
is	VBZ	O
responsible	JJ	O
for	IN	O
locating	VBG	O
and	CC	O
executing	VBG	O
a	DT	O
secondary	JJ	O
shellcode	NN	TOOL
stub	NN	TOOL
.	.	O
The	DT	O
second	JJ	O
stage	NN	O
shellcode	NN	TOOL
reads	VBZ	O
the	DT	O
initial	JJ	O
RTF	NNP	O
document	NN	O
and	CC	O
seeks	VBZ	O
to	TO	O
the	DT	O
end	NN	O
of	IN	O
the	DT	O
file	NN	O
,	,	O
using	VBG	O
the	DT	O
last	JJ	O
four	CD	O
bytes	NNS	O
as	IN	O
the	DT	O
size	NN	O
of	IN	O
the	DT	O
embedded	JJ	O
payload	NN	O
.	.	O
With	IN	O
the	DT	O
payload	NN	O
size	NN	O
confirmed	VBD	O
,	,	O
the	DT	O
shellcode	NN	TOOL
will	MD	O
create	VB	O
a	DT	O
file	NN	O
in	IN	O
the	DT	O
%	NN	O
TEMP%	NNP	O
folder	NN	O
using	VBG	O
a	DT	O
temporary	JJ	O
filename	NN	O
.	.	O
The	DT	O
shellcode	NN	TOOL
will	MD	O
decrypt	VB	O
and	CC	O
subsequently	RB	O
load	VBZ	O
the	DT	O
embedded	JJ	O
payload	NN	O
in	IN	O
the	DT	O
RTF	NNP	O
file	NN	O
.	.	O
The	DT	O
decrypted	JJ	O
payload	NN	O
is	VBZ	O
written	VBN	O
to	TO	O
the	DT	O
temporary	JJ	O
file	NN	O
and	CC	O
executed	VBD	O
using	VBG	O
WinExec	NNP	TOOL
.	.	O
The	DT	O
shellcode	NN	TOOL
then	RB	O
attempts	VBZ	O
to	TO	O
decrypt	VB	O
an	DT	O
embedded	JJ	O
decoy	NN	TECHNIQUE
document	NN	TECHNIQUE
with	IN	O
the	DT	O
same	JJ	O
algorithm	NN	O
used	VBN	O
to	TO	O
decrypt	VB	O
the	DT	O
payload	NN	O
,	,	O
which	WDT	O
it	PRP	O
will	MD	O
save	VB	O
to	TO	O
%	NN	O
TEMP%\~tmp.doc	NNP	O
path	NN	O
.	.	O
The	DT	O
malware	NN	O
includes	VBZ	O
proxy	JJ	TECHNIQUE
support	NN	TECHNIQUE
in	IN	O
the	DT	O
event	NN	O
that	IN	O
the	DT	O
victim	NN	O
is	VBZ	O
behind	IN	O
a	DT	O
web	JJ	O
proxy	NN	O
.	.	O
Network	NNP	O
traffic	NN	O
occurs	VBZ	O
over	IN	O
a	DT	O
binary	JJ	O
protocol	NN	O
on	IN	O
the	DT	O
port	NN	O
specified	VBD	O
within	IN	O
the	DT	O
configuration	NN	O
.	.	O
Traffic	NN	O
is	VBZ	O
xor	JJ	O
-	:	O
encrypted	VBN	O
with	IN	O
a	DT	O
single	JJ	O
-	:	O
byte	NN	O
key	NN	O
of	IN	O
0x55	CD	O
in	IN	O
an	DT	O
attempt	NN	O
to	TO	O
bypass	VB	TECHNIQUE
any	DT	TECHNIQUE
network	NN	TECHNIQUE
security	NN	TECHNIQUE
products	NNS	O
that	WDT	O
may	MD	O
be	VB	O
in	IN	O
place	NN	O
.	.	O
Once	RB	O
decrypted	VBN	O
,	,	O
the	DT	O
following	JJ	O
traffic	NN	O
is	VBZ	O
sent	VBN	O
by	IN	O
the	DT	O
malware	NN	O
.	.	O
